"","PERSON_ID","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FIRST_LAST","ROSTERSTATUS","FROM_YEAR","TO_YEAR","PLAYERCODE","PLAYER_SLUG","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_SLUG","GAMES_PLAYED_FLAG","OTHERLEAGUE_EXPERIENCE_CH"
"460","76239","Branson, Brad","Brad Branson","0","1981","1982","HISTADD_bradley_branson","brad_branson","0","","","","",NA,"Y","00"
"461","76240","Branson, Jesse","Jesse Branson","0","1965","1965","HISTADD_jesse_branson","jesse_branson","0","","","","",NA,"Y","00"
"462","1629714","Brantley, Jarrell","Jarrell Brantley","0","2019","2021","jarrell_brantley","jarrell_brantley","0","","","","",NA,"Y","01"
"463","76241","Brasco, Jim","Jim Brasco","0","1952","1952","HISTADD_jim_brasco","jim_brasco","0","","","","",NA,"Y","00"
"464","76242","Bratz, Mike","Mike Bratz","0","1977","1985","HISTADD_mike_bratz","mike_bratz","0","","","","",NA,"Y","00"
"465","76243","Braun, Carl","Carl Braun","0","1947","1961","HISTADD_carl_braun","carl_braun","0","","","","",NA,"Y","00"
"466","1629649","Brazdeikis, Ignas","Ignas Brazdeikis","0","2019","2021","ignas_brazdeikis","ignas_brazdeikis","0","","","","",NA,"Y","01"
"467","160","Breaux, Tim","Tim Breaux","0","1994","1997","tim_breaux","tim_breaux","0","","","","",NA,"Y","00"
"468","2452","Bremer, J.R.","J.R. Bremer","0","2002","2003","j.r._bremer","jr_bremer","0","","","","",NA,"Y","00"
"469","76245","Brennan, Pete","Pete Brennan","0","1958","1958","HISTADD_pete_brennan","pete_brennan","0","","","","",NA,"Y","00"
"470","76246","Brennan, Tom","Tom Brennan","0","1954","1954","HISTADD_tom_brennan","tom_brennan","0","","","","",NA,"Y","00"
"471","76247","Breuer, Randy","Randy Breuer","0","1983","1993","HISTADD_randy_breuer","randy_breuer","0","","","","",NA,"Y","00"
"472","201147","Brewer, Corey","Corey Brewer","1","2007","2019","corey_brewer","corey_brewer","1610612758","Sacramento","Kings","SAC","kings","kings","Y","00"
"473","2249","Brewer, Jamison","Jamison Brewer","0","2001","2004","jamison_brewer","jamison_brewer","0","","","","",NA,"Y","01"
"474","76248","Brewer, Jim","Jim Brewer","0","1973","1981","HISTADD_jim_brewer","jim_brewer","0","","","","",NA,"Y","00"
"475","76249","Brewer, Ron","Ron Brewer","0","1978","1985","HISTADD_ron_brewer","ron_brewer","0","","","","",NA,"Y","00"
"476","200758","Brewer, Ronnie","Ronnie Brewer","0","2006","2013","ronnie_brewer","ronnie_brewer","0","","","","",NA,"Y","01"
"477","2056","Brezec, Primoz","Primoz Brezec","0","2001","2009","primoz_brezec","primoz_brezec","0","","","","",NA,"Y","00"
"478","76250","Brian, Frank","Frank Brian","0","1949","1955","HISTADD_flash_brian","frank_brian","0","","","","",NA,"Y","00"
"479","783","Brickowski, Frank","Frank Brickowski","0","1984","1996","frank_brickowski","frank_brickowski","0","","","","",NA,"Y","00"
"480","76252","Bridgeman, Junior","Junior Bridgeman","0","1975","1986","HISTADD_junior_bridgeman","junior_bridgeman","0","","","","",NA,"Y","00"
"481","76253","Bridges, Bill","Bill Bridges","0","1962","1974","HISTADD_bill_bridges","bill_bridges","0","","","","",NA,"Y","00"
"482","1628969","Bridges, Mikal","Mikal Bridges","1","2018","2021","mikal_bridges","mikal_bridges","1610612756","Phoenix","Suns","PHX","suns","suns","Y","00"
"483","1628970","Bridges, Miles","Miles Bridges","1","2018","2021","miles_bridges","miles_bridges","1610612766","Charlotte","Hornets","CHA","hornets","hornets","Y","00"
"484","76254","Brightman, Al","Al Brightman","0","1946","1946","HISTADD_al_brightman","al_brightman","0","","","","",NA,"Y","00"
"485","1628578","Brimah, Amida","Amida Brimah","0","2020","2020","amida_brimah","amida_brimah","0","","","","",NA,"Y","11"
"486","76255","Brindley, Audley","Audley Brindley","0","1946","1946","HISTADD_aud_brindley","audley_brindley","0","","","","",NA,"Y","00"
"487","1628515","Briscoe, Isaiah","Isaiah Briscoe","0","2018","2018","isaiah_briscoe","isaiah_briscoe","0","","","","",NA,"Y","11"
"488","76256","Brisker, John","John Brisker","0","1972","1974","HISTADD_john_brisker","john_brisker","0","","","","",NA,"Y","00"
"489","1629052","Brissett, Oshae","Oshae Brissett","0","2019","2021","oshae_brissett","oshae_brissett","0","","","","",NA,"Y","01"
"490","76257","Bristow, Allan","Allan Bristow","0","1973","1982","HISTADD_allan_bristow","allan_bristow","0","","","","",NA,"Y","00"
"491","76258","Britt, Tyrone","Tyrone Britt","0","1967","1967","HISTADD_tyrone_britt","tyrone_britt","0","","","","",NA,"Y","00"
"492","76259","Britt, Wayman","Wayman Britt","0","1977","1977","HISTADD_wayman_britt","wayman_britt","0","","","","",NA,"Y","00"
"493","76260","Brittain, Mike","Mike Brittain","0","1985","1986","HISTADD_mike_brittain","mike_brittain","0","","","","",NA,"Y","00"
"494","76261","Britton, David","David Britton","0","1980","1980","HISTADD_david_britton","david_britton","0","","","","",NA,"Y","00"
"495","201972","Brockman, Jon","Jon Brockman","0","2009","2011","jon_brockman","jon_brockman","0","","","","",NA,"Y","00"
"496","1629151","Broekhoff, Ryan","Ryan Broekhoff","1","2018","2019","ryan_broekhoff","ryan_broekhoff","1610612742","Dallas","Mavericks","DAL","mavericks","mavericks","Y","00"
"497","76262","Brogan, Jim","Jim Brogan","0","1981","1982","HISTADD_jim_brogan","jim_brogan","0","","","","",NA,"Y","00"
"498","1627763","Brogdon, Malcolm","Malcolm Brogdon","1","2016","2021","malcolm_brogdon","malcolm_brogdon","1610612749","Milwaukee","Bucks","MIL","bucks","bucks","Y","00"
"499","76263","Brokaw, Gary","Gary Brokaw","0","1974","1977","HISTADD_dupp_gary_brokaw","gary_brokaw","0","","","","",NA,"Y","00"
"500","76264","Brookfield, Price","Price Brookfield","0","1948","1949","HISTADD_price_brookfield","price_brookfield","0","","","","",NA,"Y","00"
"501","201166","Brooks, Aaron","Aaron Brooks","0","2007","2017","aaron_brooks","aaron_brooks","0","","","","",NA,"Y","01"
"502","1629717","Brooks, Armoni","Armoni Brooks","0","2020","2021","sl_armoni_brooks","armoni_brooks","0","","","","",NA,"Y","01"
"503","1628415","Brooks, Dillon","Dillon Brooks","1","2017","2021","dillon_brooks","dillon_brooks","1610612763","Memphis","Grizzlies","MEM","grizzlies","grizzlies","Y","00"
"504","76265","Brooks, Kevin","Kevin Brooks","0","1991","1993","HISTADD_kevin_brooks","kevin_brooks","0","","","","",NA,"Y","00"
"505","202705","Brooks, MarShon","MarShon Brooks","0","2011","2018","marshon_brooks","marshon_brooks","0","","","","",NA,"Y","01"
"506","76266","Brooks, Michael","Michael Brooks","0","1980","1987","HISTADD_michael_brooks","michael_brooks","0","","","","",NA,"Y","00"
"507","418","Brooks, Scott","Scott Brooks","0","1988","1997","scott_brooks","scott_brooks","0","","","","",NA,"Y","00"
"508","2810","Brown, Andre","Andre Brown","0","2006","2008","andre_brown","andre_brown","0","","","","",NA,"Y","01"
"509","1626148","Brown, Anthony","Anthony Brown","0","2015","2017","anthony_brown","anthony_brown","0","","","","",NA,"Y","11"
"510","76284","Brown, Bob","Bob Brown","0","1948","1949","HISTADD_bob_brown","bob_brown","0","","","","",NA,"Y","00"
"511","201628","Brown, Bobby","Bobby Brown","0","2008","2017","bobby_brown","bobby_brown","0","","","","",NA,"Y","01"
"512","1628971","Brown, Bruce","Bruce Brown","1","2018","2021","bruce_brown","bruce_brown","1610612765","Detroit","Pistons","DET","pistons","pistons","Y","11"
"513","1630602","Brown, Chaundee","Chaundee Brown","0","2021","2021","chaundee_brown","chaundee_brown","0","","","","",NA,"N","00"
"514","359","Brown, Chucky","Chucky Brown","0","1989","2001","chucky_brown","chucky_brown","0","","","","",NA,"Y","00"
"515","2245","Brown, Damone","Damone Brown","0","2001","2004","damone_brown","damone_brown","0","","","","",NA,"Y","01"
"516","76270","Brown, Darrell","Darrell Brown","0","1948","1948","HISTADD_darrell_brown","darrell_brown","0","","","","",NA,"Y","00"
"517","244","Brown, Dee","Dee Brown","0","1990","2001","dee_brown","dee_brown","0","","","","",NA,"Y","00"
"518","200793","Brown, Dee","Dee Brown","0","2006","2008","dee_brown","dee_brown","0","","","","",NA,"Y","00"
"519","201974","Brown, Derrick","Derrick Brown","0","2009","2011","derrick_brown","derrick_brown","0","","","","",NA,"Y","00"
"520","2484","Brown, Devin","Devin Brown","0","2002","2009","devin_brown","devin_brown","0","","","","",NA,"Y","01"
"521","2081","Brown, Ernest","Ernest Brown","0","2001","2003","ernest_brown","ernest_brown","0","","","","",NA,"Y","00"
"522","76272","Brown, Fred","Fred Brown","0","1971","1983","HISTADD_fred_brown","fred_brown","0","","","","",NA,"Y","00"
"523","76273","Brown, George","George Brown","0","1957","1957","HISTADD_george_brown","george_brown","0","","","","",NA,"Y","00"
"524","1871","Brown, Gerald","Gerald Brown","0","1998","1998","gerald_brown","gerald_brown","0","","","","",NA,"Y","00"
"525","76275","Brown, Harold","Harold Brown","0","1946","1946","HISTADD_brownie_brown","harold_brown","0","","","","",NA,"Y","00"
"526","203913","Brown, Jabari","Jabari Brown","0","2014","2014","jabari_brown","jabari_brown","0","","","","",NA,"Y","01"
"527","1627759","Brown, Jaylen","Jaylen Brown","1","2016","2021","jaylen_brown","jaylen_brown","1610612738","Boston","Celtics","BOS","celtics","celtics","Y","00"
"528","76276","Brown, John","John Brown","0","1973","1979","HISTADD_john_brown","john_brown","0","","","","",NA,"Y","00"
"529","2208","Brown, Kedrick","Kedrick Brown","0","2001","2004","kedrick_brown","kedrick_brown","0","","","","",NA,"Y","01"
"530","2198","Brown, Kwame","Kwame Brown","0","2001","2012","kwame_brown","kwame_brown","0","","","","",NA,"Y","00"
"531","76278","Brown, Leon","Leon Brown","0","1946","1946","HISTADD_stretch_brown","leon_brown","0","","","","",NA,"Y","00"
"532","76279","Brown, Lewis","Lewis Brown","0","1980","1980","HISTADD_lewis_brown","lewis_brown","0","","","","",NA,"Y","00"
"533","203485","Brown, Lorenzo","Lorenzo Brown","0","2013","2018","lorenzo_brown","lorenzo_brown","0","","","","",NA,"Y","01"
"534","992","Brown, Marcus","Marcus Brown","0","1996","1999","marcus_brown","marcus_brown","0","","","","",NA,"Y","00"
"535","203900","Brown, Markel","Markel Brown","0","2014","2017","markel_brown","markel_brown","0","","","","",NA,"Y","01"
"536","1479","Brown, Mike","Mike Brown","0","1986","1997","mike_brown","mike_brown","0","","","","",NA,"Y","00"
"537","1629650","Brown, Moses","Moses Brown","0","2019","2021","moses_brown","moses_brown","0","","","","",NA,"Y","01"
"538","76277","Brown, Myron","Myron Brown","0","1991","1991","HISTADD_myron_brown","myron_brown","0","","","","",NA,"Y","00"
"539","136","Brown, P.J.","P.J. Brown","0","1993","2007","p.j._brown","pj_brown","0","","","","",NA,"Y","00"
"540","753","Brown, Randy","Randy Brown","0","1991","2002","randy_brown","randy_brown","0","","","","",NA,"Y","00"
"541","76282","Brown, Raymond","Raymond Brown","0","1989","1989","HISTADD_raymond_brown","raymond_brown","0","","","","",NA,"Y","00"
"542","76283","Brown, Rickey","Rickey Brown","0","1980","1984","HISTADD_rickey_brown","rickey_brown","0","","","","",NA,"Y","00"
"543","76286","Brown, Roger","Roger Brown","0","1972","1979","HISTADD_roger_brown","roger_brown","0","","","","",NA,"Y","00"
"544","200769","Brown, Shannon","Shannon Brown","0","2006","2014","shannon_brown","shannon_brown","0","","","","",NA,"Y","01"
"545","76285","Brown, Stan","Stan Brown","0","1947","1951","HISTADD_stan_brown","stan_brown","0","","","","",NA,"Y","00"
"546","1628425","Brown, Sterling","Sterling Brown","1","2017","2021","sterling_brown","sterling_brown","1610612749","Milwaukee","Bucks","MIL","bucks","bucks","Y","11"
"547","2357","Brown, Tierre","Tierre Brown","0","2001","2004","tierre_brown","tierre_brown","0","","","","",NA,"Y","01"
"548","76268","Brown, Tony","Tony Brown","0","1984","1991","HISTADD_tony_brown","tony_brown","0","","","","",NA,"Y","00"
"549","1630535","Brown III, Greg","Greg Brown III","0","2021","2021","greg_brown_iii","greg_brown_iii","0","","","","",NA,"N","00"
"550","1629718","Brown Jr., Charlie","Charlie Brown Jr.","0","2019","2021","charles_brown","charlie_brown_jr","0","","","","",NA,"Y","01"
"551","1628972","Brown Jr., Troy","Troy Brown Jr.","1","2018","2021","troy_brown_jr","troy_brown_jr","1610612764","Washington","Wizards","WAS","wizards","wizards","Y","11"
"552","76287","Browne, Jim","Jim Browne","0","1948","1949","HISTADD_jim_browne","jim_browne","0","","","","",NA,"Y","00"
"553","76288","Brundy, Stanley","Stanley Brundy","0","1989","1989","HISTADD_marla_brumfield","stanley_brundy","0","","","","",NA,"Y","00"
"554","1628973","Brunson, Jalen","Jalen Brunson","1","2018","2021","jalen_brunson","jalen_brunson","1610612742","Dallas","Mavericks","DAL","mavericks","mavericks","Y","00"
"555","1594","Brunson, Rick","Rick Brunson","0","1997","2005","rick_brunson","rick_brunson","0","","","","",NA,"Y","00"
"556","1627852","Brussino, Nicolas","Nicolas Brussino","0","2016","2017","nicolas_brussino","nicolas_brussino","0","","","","",NA,"Y","01"
"557","1629091","Bryant, Elijah","Elijah Bryant","0","2020","2021","elijah_bryant","elijah_bryant","0","","","","",NA,"Y","00"
"558","76289","Bryant, Emmette","Emmette Bryant","0","1964","1971","HISTADD_emmette_bryant","emmette_bryant","0","","","","",NA,"Y","00"
"559","76290","Bryant, Joe","Joe Bryant","0","1975","1982","HISTADD_joe_bryant","joe_bryant","0","","","","",NA,"Y","00"
"560","977","Bryant, Kobe","Kobe Bryant","0","1996","2015","kobe_bryant","kobe_bryant","0","","","","",NA,"Y","00"
